Date,Region,Product,Category,Units_Sold,Revenue,Discount,Customer_Segment
2024-08-05,North,Keyboard Mech,Accessories,105,10500,0.10,Consumer
2024-08-07,South,Wireless Mouse,Accessories,165,4125,0.10,Enterprise
2024-08-09,East,Laptop Pro,Electronics,40,60000,0.05,SMB
2024-08-11,West,Monitor 27",Electronics,58,29000,0.08,Consumer
2024-08-13,North,Laptop Air,Electronics,48,72000,0.05,Enterprise
2024-08-15,South,SSD 1TB,Storage,185,27750,0.05,SMB
2024-08-17,East,Keyboard Mech,Accessories,110,11000,0.10,Consumer
2024-08-19,West,Wireless Mouse,Accessories,170,4250,0.10,Enterprise
2024-08-21,North,Laptop Pro,Electronics,43,64500,0.05,SMB
2024-08-23,South,USB Hub,Accessories,120,3600,0.0,Consumer
2024-08-25,East,Monitor 27",Electronics,60,30000,0.08,Enterprise
2024-08-27,West,Laptop Air,Electronics,50,75000,0.05,SMB
2024-08-29,North,SSD 1TB,Storage,190,28500,0.05,Consumer
2024-09-01,South,Keyboard Mech,Accessories,115,11500,0.10,Enterprise
2024-09-03,East,Wireless Mouse,Accessories,175,4375,0.10,SMB
2024-09-05,West,Laptop Pro,Electronics,46,69000,0.05,Consumer
2024-09-07,North,Monitor 27",Electronics,62,31000,0.08,Enterprise
2024-09-09,South,Laptop Air,Electronics,53,79500,0.05,SMB
2024-09-11,East,SSD 1TB,Storage,195,29250,0.05,Consumer
2024-09-13,West,USB Hub,Accessories,125,3750,0.0,Enterprise
2024-09-15,North,Keyboard Mech,Accessories,120,12000,0.10,SMB
2024-09-17,South,Wireless Mouse,Accessories,180,4500,0.10,Consumer
2024-09-19,East,Laptop Pro,Electronics,48,72000,0.05,Enterprise
2024-09-21,West,Monitor 27",Electronics,65,32500,0.08,SMB
2024-09-23,North,Laptop Air,Electronics,55,82500,0.05,Consumer
2024-09-25,South,SSD 1TB,Storage,200,30000,0.05,Enterprise
2024-09-27,East,Keyboard Mech,Accessories,125,12500,0.10,SMB
2024-09-29,West,Wireless Mouse,Accessories,185,4625,0.10,Consumer
2024-10-01,North,Laptop Pro,Electronics,52,78000,0.05,Enterprise
2024-10-03,South,USB Hub,Accessories,130,3900,0.0,SMB
2024-10-05,East,Monitor 27",Electronics,68,34000,0.08,Consumer
2024-10-07,West,Laptop Air,Electronics,58,87000,0.05,Enterprise
2024-10-09,North,SSD 1TB,Storage,205,30750,0.05,SMB
2024-10-11,South,Keyboard Mech,Accessories,130,13000,0.10,Consumer
2024-10-13,East,Wireless Mouse,Accessories,190,4750,0.10,Enterprise
2024-10-15,West,Laptop Pro,Electronics,55,82500,0.05,SMB
2024-10-17,North,Monitor 27",Electronics,70,35000,0.08,Consumer
2024-10-19,South,Laptop Air,Electronics,60,90000,0.05,Enterprise
2024-10-21,East,SSD 1TB,Storage,210,31500,0.05,SMB
2024-10-23,West,USB Hub,Accessories,135,4050,0.0,Consumer
2024-10-25,North,Keyboard Mech,Accessories,135,13500,0.10,Enterprise
2024-10-27,South,Wireless Mouse,Accessories,195,4875,0.10,SMB
2024-10-29,East,Laptop Pro,Electronics,58,87000,0.05,Consumer
2024-11-01,West,Monitor 27",Electronics,72,36000,0.08,Enterprise
2024-11-03,North,Laptop Air,Electronics,63,94500,0.05,SMB
2024-11-05,South,SSD 1TB,Storage,215,32250,0.05,Consumer
2024-11-07,East,Keyboard Mech,Accessories,140,14000,0.10,Enterprise
2024-11-09,West,Wireless Mouse,Accessories,200,5000,0.10,SMB
2024-11-11,North,Laptop Pro,Electronics,62,93000,0.05,Consumer
2024-11-13,South,USB Hub,Accessories,140,4200,0.0,Enterprise
2024-11-15,East,Monitor 27",Electronics,75,37500,0.08,SMB
2024-11-17,West,Laptop Air,Electronics,66,99000,0.05,Consumer
2024-11-19,North,SSD 1TB,Storage,220,33000,0.05,Enterprise
2024-11-21,South,Keyboard Mech,Accessories,145,14500,0.10,SMB
2024-11-23,East,Wireless Mouse,Accessories,205,5125,0.10,Consumer
2024-11-25,West,Laptop Pro,Electronics,65,97500,0.05,Enterprise
2024-11-27,North,Monitor 27",Electronics,78,39000,0.08,SMB
2024-11-29,South,Laptop Air,Electronics,68,102000,0.05,Consumer
2024-12-01,East,SSD 1TB,Storage,225,33750,0.05,Enterprise
2024-12-03,West,USB Hub,Accessories,145,4350,0.0,SMB
2024-12-05,North,Keyboard Mech,Accessories,150,15000,0.10,Consumer
2024-12-07,South,Wireless Mouse,Accessories,210,5250,0.10,Enterprise
2024-12-09,East,Laptop Pro,Electronics,68,102000,0.05,SMB
2024-12-11,West,Monitor 27",Electronics,80,40000,0.08,Consumer
2024-12-13,North,Laptop Air,Electronics,72,108000,0.05,Enterprise
2024-12-15,South,SSD 1TB,Storage,230,34500,0.05,SMB
2024-12-17,East,Keyboard Mech,Accessories,155,15500,0.10,Consumer
2024-12-19,West,Wireless Mouse,Accessories,215,5375,0.10,Enterprise
2024-12-21,North,Laptop Pro,Electronics,70,105000,0.05,SMB
2024-12-23,South,USB Hub,Accessories,150,4500,0.0,Consumer
2024-12-25,East,Monitor 27",Electronics,82,41000,0.08,Enterprise
2024-12-27,West,Laptop Air,Electronics,75,112500,0.05,SMB
2024-12-29,North,SSD 1TB,Storage,235,35250,0.05,Consumer
2024-12-31,South,Keyboard Mech,Accessories,160,16000,0.10,Enterprise
